key,en,it
faq.items,"[{""question"":""The site shows a blank page or crashes — what should I do?"",""answer"":""Some browser extensions inject development runtimes (e.g., Plasmo/BacklinkPilot) into every page, which can break React apps. Please disable those extensions on this site and hard‑refresh (Ctrl/Cmd+Shift+R).""},{""question"":""Is this digital image maker with palette controls free?"",""answer"":""Yes. Image Village is a completely free online image tool for all users. Enjoy unlimited image conversions, custom palette controls, and high-resolution downloads with advanced palettes without any cost.""},{""question"":""Is my image private? Do you upload image files?"",""answer"":""Your image privacy is guaranteed. Your image files never leave your device as all image processing is done locally in your browser. Image Village cannot access your image files, making it a secure digital image creator from your images with palette options.""},{""question"":""How do I turn a image into a game sprite with custom palette?"",""answer"":""Our digital image maker with palette controls is perfect for creating game sprites. Upload your character's image, adjust the size to match your game's visual style, and use the custom palette controls to fit your engine's color limits. Create pixel art with advanced palettes to help you make the perfect sprite as a transparent PNG.""},{""question"":""Can I adjust the pixel grid on my image?"",""answer"":""Absolutely. The live editor includes a \""Show grid\"" option. This pixel grid overlay helps you see the individual pixels clearly, which is useful for fine-tuning your art or for learning how the pixelation effect works on your image.""},{""question"":""What is the best way to convert a image to pixel art?"",""answer"":""For best results when you convert a image to pixel visuals, start with a high-contrast image. Use the pixel size slider to find a level of detail you like with custom palette settings. Create pixel art with larger sizes for a more abstract, 8-bit look, while smaller sizes retain more detail from the original image with advanced palettes.""},{""question"":""Can I use the generated pixel art commercially?"",""answer"":""Yes. You own the rights to your original uploads and to the generated results. You can use graphics made with pixel Village for any purpose, including commercial projects. Create pixel art with our tools for unlimited commercial use.""},{""question"":""Which formats can I use with this image pixelator?"",""answer"":""This image pixelator supports all common browser formats like PNG, JPG, GIF, and WEBP. You can convert a PNG to pixel visuals or a JPG to pixel visuals with ease. Create pixel art with any image format.""},{""question"":""Why is this tool called pixel art Village?"",""answer"":""We believe that creating graphics is a community activity, even when using a tool online. pixel Village is a place where anyone, from beginner to pro, can gather to easily make pixel visuals with custom palettes. Create pixel art with our tools and join our welcoming village for all pixel enthusiasts.""}]","[{""question"":""The site shows a blank page or crashes — what should I do?"",""answer"":""Some browser extensions inject development runtimes (e.g., Plasmo/BacklinkPilot) into every page, which can break React apps. Please disable those extensions on this site and hard‑refresh (Ctrl/Cmd+Shift+R).""},{""question"":""Is this digital image maker with palette controls free?"",""answer"":""Yes. Image Village is a completely free online image tool for all users. Enjoy unlimited image conversions, custom palette controls, and high-resolution downloads with advanced palettes without any cost.""},{""question"":""Is my image private? Do you upload image files?"",""answer"":""Your image privacy is guaranteed. Your image files never leave your device as all image processing is done locally in your browser. Image Village cannot access your image files, making it a secure digital image creator from your images with palette options.""},{""question"":""How do I turn a image into a game sprite with custom palette?"",""answer"":""Our digital image maker with palette controls is perfect for creating game sprites. Upload your character's image, adjust the size to match your game's visual style, and use the custom palette controls to fit your engine's color limits. Create pixel art with advanced palettes to help you make the perfect sprite as a transparent PNG.""},{""question"":""Can I adjust the pixel grid on my image?"",""answer"":""Absolutely. The live editor includes a \""Show grid\"" option. This pixel grid overlay helps you see the individual pixels clearly, which is useful for fine-tuning your art or for learning how the pixelation effect works on your image.""},{""question"":""What is the best way to convert a image to pixel art?"",""answer"":""For best results when you convert a image to pixel visuals, start with a high-contrast image. Use the pixel size slider to find a level of detail you like with custom palette settings. Create pixel art with larger sizes for a more abstract, 8-bit look, while smaller sizes retain more detail from the original image with advanced palettes.""},{""question"":""Can I use the generated pixel art commercially?"",""answer"":""Yes. You own the rights to your original uploads and to the generated results. You can use graphics made with pixel Village for any purpose, including commercial projects. Create pixel art with our tools for unlimited commercial use.""},{""question"":""Which formats can I use with this image pixelator?"",""answer"":""This image pixelator supports all common browser formats like PNG, JPG, GIF, and WEBP. You can convert a PNG to pixel visuals or a JPG to pixel visuals with ease. Create pixel art with any image format.""},{""question"":""Why is this tool called pixel art Village?"",""answer"":""We believe that creating graphics is a community activity, even when using a tool online. pixel Village is a place where anyone, from beginner to pro, can gather to easily make pixel visuals with custom palettes. Create pixel art with our tools and join our welcoming village for all pixel enthusiasts.""}]"
related.converters.title,Related Pixel Art Converters,Related Pixel Art Converters
related.converters.desc,Explore more free tools to convert images to pixel art,Explore more free tools to convert images to pixel art
related.converters.items,"[{""title"":""Image to Pixel Art"",""href"":""/converter/image-to-pixel-art/"",""desc"":""Universal converter for all image formats""},{""title"":""PNG to Pixel Art"",""href"":""/converter/png-to-pixel-art/"",""desc"":""Convert PNG images with transparency""},{""title"":""JPG to Pixel Art"",""href"":""/converter/jpg-to-pixel-art/"",""desc"":""Transform photos into retro graphics""},{""title"":""Photo to Sprite"",""href"":""/converter/photo-to-sprite-converter/"",""desc"":""Create game-ready sprites from photos""},{""title"":""8-bit Art Generator"",""href"":""/converter/8-bit-art-generator/"",""desc"":""Generate authentic 8-bit style artwork""},{""title"":""Pixelate Image Online"",""href"":""/converter/pixelate-image-online/"",""desc"":""Fast and free image pixelation""}]","[{""title"":""Image to Pixel Art"",""href"":""/converter/image-to-pixel-art/"",""desc"":""Universal converter for all image formats""},{""title"":""PNG to Pixel Art"",""href"":""/converter/png-to-pixel-art/"",""desc"":""Convert PNG images with transparency""},{""title"":""JPG to Pixel Art"",""href"":""/converter/jpg-to-pixel-art/"",""desc"":""Transform photos into retro graphics""},{""title"":""Photo to Sprite"",""href"":""/converter/photo-to-sprite-converter/"",""desc"":""Create game-ready sprites from photos""},{""title"":""8-bit Art Generator"",""href"":""/converter/8-bit-art-generator/"",""desc"":""Generate authentic 8-bit style artwork""},{""title"":""Pixelate Image Online"",""href"":""/converter/pixelate-image-online/"",""desc"":""Fast and free image pixelation""}]"
related.guides.title,Pixel Art Tutorials & Guides,Pixel Art Tutorials & Guides
related.guides.desc,Learn how to create better pixel art with our step-by-step tutorials,Learn how to create better pixel art with our step-by-step tutorials
related.guides.items,"[{""title"":""How to Pixelate an Image"",""href"":""/blog/how-to-pixelate-an-image/"",""desc"":""Beginner-friendly guide to pixel art""},{""title"":""Export from Illustrator"",""href"":""/blog/export-from-illustrator-image-to-pixel-art/"",""desc"":""Avoid pixelation issues when exporting""},{""title"":""Make Image More Like Pixel"",""href"":""/blog/make-image-more-like-pixel/"",""desc"":""Basic editing techniques for better results""},{""title"":""Get Pixel Art Version of Image"",""href"":""/blog/how-to-get-pixel-art-version-of-image/"",""desc"":""Complete converter guide with SNES tips""}]","[{""title"":""How to Pixelate an Image"",""href"":""/blog/how-to-pixelate-an-image/"",""desc"":""Beginner-friendly guide to pixel art""},{""title"":""Export from Illustrator"",""href"":""/blog/export-from-illustrator-image-to-pixel-art/"",""desc"":""Avoid pixelation issues when exporting""},{""title"":""Make Image More Like Pixel"",""href"":""/blog/make-image-more-like-pixel/"",""desc"":""Basic editing techniques for better results""},{""title"":""Get Pixel Art Version of Image"",""href"":""/blog/how-to-get-pixel-art-version-of-image/"",""desc"":""Complete converter guide with SNES tips""}]"
paletteManager.createTab,Create Palette,Create Palette
paletteManager.importTab,🆕 Import from Lospec,🆕 Import from Lospec
paletteManager.createTitle,Create palette,Create palette
paletteManager.nameLabel,Palette Name,Palette Name
paletteManager.namePlaceholder,My Palette,My Palette
paletteManager.colorsLabel,Palette Colors,Palette Colors
paletteManager.noColors,No colors yet,No colors yet
paletteManager.colorInputPlaceholder,#000000,#000000
paletteManager.addColor,Add color,Add color
paletteManager.removeSelected,Remove selected,Remove selected
paletteManager.save,Save palette,Save palette
paletteManager.reset,Reset form,Reset form
paletteManager.delete,Delete palette,Delete palette
paletteManager.importTitle,Import from Lospec,Import from Lospec
paletteManager.importDesc,Browse and import palettes from,Browse and import palettes from
paletteManager.importDescSuffix,，这是最大的像素艺术调色板社区，拥有 5000+ 配色方案。,，这是最大的像素艺术调色板社区，拥有 5000+ 配色方案。
paletteManager.importSuccess,"调色板 ""{{name}}"" 已导入并自动应用。\n\n向上滚动查看效果，或在 Palette 下拉菜单中切换其他调色板。","调色板 ""{{name}}"" 已导入并自动应用。\n\n向上滚动查看效果，或在 Palette 下拉菜单中切换其他调色板。"
